Landmark_Id,Destination,Landmark_Name,Description,Image_Url
1,Riyadh,The Saudi National Museum,"From the Earth to the moon, and from the prehistoric ages to the modern ages, the hallways of theÂ Saudi National Museum will take you on an adventure that transcends time and space. You will witness artistic and historical evidence in the heart of Riyadh in Al Murabba neighborhood near King Abdulaziz palace. The museum was opened in 1419H and spans across a distance of 17,000Km2 where it tells the story of 3,700 artifacts such as statues, scripts and unique sculptures.",https://museums.moc.gov.sa/_next/image?url=https%3A%2F%2Fmuseums.moc.gov.sa%2F-%2Fmedia%2FProject%2FMinistries%2FCommission%2Fmuseums%2FnationalMuseum.jpeg&w=3840&q=75
2,Riyadh,Al Masmak Palace,"The magnificent Al Masmak Palace stands erect gracefully in the middle of Riyadh city as a tourist destination having silently witnessed great events in the history of KSA foundation. The palace was constructed in the hijri 14th century during the reign of Imam Abdullah bin Faisal as his residence and the center of power and money. The palace is a strong fort against enemies with its solid high walls. It has only two entrances and small openings in the walls for gun barrels at the time of battles. Today, the palace stands as a symbol of the history of regaining power and rule of the country displaying in its corridors the features of that era and its leaders after it had been turned into a museum in 1995/1416. The Arabic word Al Masmak means a strong thick building that had been once used as a depot for weapons and ammunition until it was turned into a historic milestone then a museum.",https://upload.wikimedia.org/wikipedia/commons/8/81/Masmak_Fort_%2812753717253%29.jpg
3,Riyadh,Al Murabba Historial Palace,"The walls of Al Murabba Historial Palace are like a window to the rich history of Riyadh and a scene from its ancient memory. The 1680 m2 of land occupied by the palace overflows with the memories of the place and the historical events it witnessed, along with the glory that was made on its land.",https://media.admiddleeast.com/photos/690ef81690c69e8cf0f8a39b/master/w_1600%2Cc_limit/3.jpg
4,Riyadh,Al-Subaie Palace,"Al-Subaie Palace, located in Al-Shagra province in Riyadh, is one of the most significant historical palaces in Saudi Arabia. Built in a stunning Andalusian-Islamic style, the palace sits in the southwestern corner of the Old Town, offering a magnificent view of the historic souks (markets). This palace was once a resting place for King Abdul Aziz during his travels to and from Riyadh.",https://saudipedia.com/var/site/storage/images/3/1/4/7/5087413-1-eng-GB/71918f67e86f-206057.jpg
5,Dammam,The Heritage Village,"The Heritage Village in Dammam is the name of the place where you can meet the past of Saudi Arabia and the heritage of its regions, on an area that extends to 21,000 square meters. Its beautiful architecture hides within it a rich history.",https://media.bookmybooking.com/cache/uploads/filemanager/catalog/TOUR_ACTIVITY/SAUDI_ARABIA/HERITAGE_VILLAGE/HERITAGE_VILLAGE-530x240.webp
6,Taif,Kaaki Palace,"In the historical area of Taif, the exquisite architectural artistry of Al-Kaaki Palace combined juniper wood, granite stone, and colored glass to form and build the palace in the ancient Roman style, blended the spirit of the Hijaz community presented in the design of the palace windows and in the Hijazi decorations extending to the roof, forming an architectural masterpiece located on Al-Salama street.",https://saudipedia.com/var/site/storage/images/5/1/9/5/5095915-1-eng-GB/5810667850c4-96320.jpg
7,Najran,Al-Aan Palace in Najran,"Najran is adorned with many majestic palaces that have formed a historical legacy for the region, including the historic Al-Aan Palace, also known as Saadan Palace. The palace is located on Al-Aan Mountain, from which it takes its name. It was built in 1100 AH (1689/1688 CE), and has undergone several renovations, the latest of which was in 1440 AH (2019/2018 CE).",https://media.istockphoto.com/id/2234698290/photo/exterior-view-and-entrance-of-the-al-aan-palace-also-known-as-saadan-palace.jpg?s=612x612&w=0&k=20&c=AOwTgK69VKOGOn1F_nxARk6v6Wh4OorhSVbxw3D5kNo=
8,Al Jubail,Crease Archaeological Tower,"Crease Tower is a mud tower that tells the story of glory preserved in the memory of history. It is located in the western part of Al Jubail in the Eastern Region of Saudi Arabia. It was built by order of the founder King Abdulaziz bin Abdulrahman Al Saud in 1928, coinciding with the period of the emergence of the city of Al Jubail at that time. The tower is considered a historical legacy and an important landmark in the region, visited by tourists, antiquities enthusiasts, and history lovers.",https://dashboard.hawdaj.net/uploads/gallery/QXYPrqaDXV9BVlo506lef4GYJKwKVz34bBgKddkc.jpg
9,Aseer,Alraqdi Museum,"You will not only see the Aseer legacies in Alraqdi Museum, but it will also open the doors of knowledge that will take you to ancient worlds and historical anecdotes that express the history of ancient Aseer, adorned with the arts of Al-Qatt Al-Aseer made by Aseer women.",https://prod-wafy-api.s3.eu-central-1.amazonaws.com/images/places/417982/35937/20200616124548/417982-35937-20200616124548-7611337.jpg
10,Aseer,Al-Qatt Al-Aseeri Museum (Fatimah Museum),"Step into the Al-Qatt Al-Aseeri Museum, where the vibrant and intricate art of Al-Qatt Al-Aseeri comes to life. This unique museum, dedicated to the traditional art and heritage of Aseer women, offers an immersive experience that showcases their distinctive style in home decoration and daily life. From the moment you enter, the aromatic plants at the entrance welcome you into a world of colorful geometric patterns and lively decorations. The walls adorned with Al-Qatt's vibrant lines and shapes tell stories of cultural heritage and artistic expression, recognized by UNESCO as an intangible cultural heritage. Visitors can partake in educational workshops to learn about this art form and even purchase unique items adorned with Al-Qatt motifs. As you explore, you'll gain insight into the symbolic meanings behind the designs, reflecting the values and traditions of the local community. Witness the remarkable skill of Aseer women in crafting natural colors from their environment and using them to beautify their homes.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/f9/de/4a/caption.jpg?w=900&h=-1&s=1
